Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"9084","25",Blue,"JW",1,0,0,0,0,0,Mobility,None,5,2,1,4,0,1,1,1,0,0,0,0,0,0,Docked,1,0,0,9,Yes,No,"Be careful with 200% increased speed",Fri Apr 21 2023 05:01:57 GMT+0000 (Coordinated Universal Time)
"494","18",Red,"ATC4",0,0,0,1,0,0,Mobility,Engaged,5,1,4,1,0,1,0,0,0,0,0,0,0,0,Engaged,3,1,0,7,Yes,No,"",Fri Apr 21 2023 05:04:51 GMT+0000 (Coordinated Universal Time)
"195","Qual 63",Red,"AS",0,0,0,0,1,1,Mobility,None,7,3,2,2,3,1,0,1,0,0,0,0,0,0,Engaged,0,3,0,9,Yes,No,"",Fri Apr 21 2023 05:06:05 GMT+0000 (Coordinated Universal Time)
"6657","11",Red,"ARM",0,0,0,0,0,1,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Engaged,0,1,0,6,No,No,"Super duper charged bottom accidentally",Fri Apr 21 2023 05:06:24 GMT+0000 (Coordinated Universal Time)
"3538","12",Red,"JJR",0,1,0,0,0,0,Mobility,None,7,1,3,4,0,1,0,0,0,0,0,0,0,0,Engaged,0,0,1,8,Yes,No,"Rode up on bot",Fri Apr 21 2023 05:07:16 GMT+0000 (Coordinated Universal Time)
"1746","25",Blue,"JW",0,0,0,1,0,1,Mobility,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Docked,3,0,7,8,Yes,No,"Intake broke, defense penalty and perimeter violation",Fri Apr 21 2023 05:07:55 GMT+0000 (Coordinated Universal Time)
"857","Qual 62",Red,"AS",1,0,0,0,0,0,Mobility,None,6,2,2,3,1,1,0,1,0,0,0,0,0,0,Park,0,0,0,6,Yes,No,"",Fri Apr 21 2023 05:10:11 GMT+0000 (Coordinated Universal Time)
"8015","29",Red,"Hh",0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,10,0,Yes,No,"Red card, no show",Fri Apr 21 2023 05:13:09 GMT+0000 (Coordinated Universal Time)
"2642","26",Blue,"ATC4",1,0,0,0,0,0,Mobility,Engaged,3,3,2,0,1,0,1,1,0,0,0,0,0,0,Engaged,4,3,0,5,No,No,"",Fri Apr 21 2023 05:13:10 GMT+0000 (Coordinated Universal Time)
"2920","Qual 61",Red,"AS",0,0,0,1,0,0,Mobility,Engaged,4,3,1,1,2,1,0,2,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"",Fri Apr 21 2023 05:14:01 GMT+0000 (Coordinated Universal Time)
