Team Number,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Pieces Place auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Piece placed,Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How good at defense (bad (0) to good (10)),Speed
,,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,None,0,0,0,Fast
5012,LL,0,0,0,0,0,1,1,Mobility,None,0,0,0,0,0,0,0,0,0,Docked,2,0,9,Fast
2375,KL,0,0,1,0,0,0,1,None,Engaged,0,0,0,0,0,0,0,5,5,Docked,0,3,0,Slow
5142,HH,0,0,0,1,0,0,1,Mobility,None,0,0,0,0,0,1,1,2,4,Engaged,1,0,3,Fast
981,MR,0,0,0,0,0,1,1,Mobility,None,2,0,0,1,0,0,0,0,1,None,0,7,0,Slow
687,AS ,1,0,0,0,0,0,1,Mobility,None,4,2,3,1,1,2,0,0,7,Park,0,0,0,Normal
3669,Lg,1,0,0,0,0,0,1,Mobility,Engaged,4,0,1,3,0,0,0,0,4,Engaged,0,2,2,Normal
9084,LL,1,0,0,0,0,0,1,Mobility,None,0,6,0,0,0,0,0,6,6,Engaged,0,0,0,Normal
1197,MR,1,0,0,0,0,0,1,Mobility,None,0,1,0,0,0,0,0,0,0,None,5,2,0,Normal
4419,HH,1,0,0,0,0,0,1,Mobility,Engaged,1,2,1,0,0,1,0,1,3,Engaged,3,3,0,Normal
7157,KL,1,0,0,1,0,0,2,Mobility,None,5,4,5,0,0,2,0,1,8,Engaged,2,4,0,Fast
3749,Lg,0,0,0,0,0,0,0,Mobility,None,4,0,2,0,1,0,0,0,3,Engaged,0,0,2,Fast
6417,AS,0,0,0,1,0,0,1,Mobility,None,2,1,2,0,0,0,0,1,3,Park,5,3,0,Slow
5869,MR,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,Engaged,2,5,1,Slow
399,KL,0,0,0,0,1,0,1,Mobility,None,0,7,0,0,0,0,0,6,6,None,3,2,0,Fast
7042,LL,0,0,0,1,0,0,1,Mobility,Engaged,1,1,0,1,1,0,0,1,3,None,5,8,0,Slow
6657,AS,0,0,0,0,1,0,1,Mobility,None,0,5,0,0,0,0,0,5,5,Engaged,2,0,2,Normal
3512,Lg,1,0,0,0,0,0,1,None,Docked,1,8,1,0,0,1,1,5,8,Park,2,0,3,Fast
4687,HH,0,1,0,0,0,0,1,Mobility,None,2,2,0,3,0,0,2,1,6,Engaged,0,0,0,Fast
8768,AS,0,0,0,0,0,1,1,None,Attempted,3,0,0,3,0,0,0,0,3,None,2,0,1,Normal
8060,LL,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,Park,6,0,3,Slow
8888,KL,1,0,0,0,0,0,1,Mobility,None,4,0,3,0,0,0,0,0,3,Docked,5,4,0,Normal
2073,MR,0,0,0,1,0,0,1,Mobility,Engaged,0,8,0,0,0,1,0,8,9,Engaged,1,1,0,Fast
6072,Lg,0,0,0,0,1,0,1,Mobility,None,0,0,0,0,0,0,0,0,0,None,3,0,7,Normal
691,HH,0,0,0,0,0,0,0,None,None,0,4,0,0,0,0,0,4,4,Engaged,4,5,2,Normal
3759,,0,0,0,0,0,0,0,Mobility,None,3,0,0,1,1,0,0,1,3,None,3,0,2,Slow
4415,LL,1,0,0,0,0,0,1,Mobility,None,3,1,1,1,1,1,0,0,4,Engaged,0,0,0,Normal
