Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"9030","1",Blue,"LL",0,0,0,1,0,0,None,None,0,2,0,0,0,1,0,0,0,0,0,0,0,0,None,8,10,4,0,No,Yes,"Tipped over",Thu Apr 20 2023 13:36:53 GMT+0000 (Coordinated Universal Time)
"7428","1",Red,"JW",0,0,0,1,0,0,None,Engaged,3,2,0,1,0,1,1,0,0,0,0,0,0,0,Engaged,0,3,0,7,Yes,No,"",Thu Apr 20 2023 13:37:22 GMT+0000 (Coordinated Universal Time)
"5804","1",Blue,"KL",1,0,0,0,0,0,None,Attempted,5,2,3,0,2,1,1,0,0,0,0,0,0,0,Engaged,0,0,0,0,Yes,No,"",Thu Apr 20 2023 13:37:38 GMT+0000 (Coordinated Universal Time)
"1023","1",Blue,"Lg",0,1,0,0,0,0,None,None,4,4,0,3,1,0,1,3,0,0,0,0,0,0,Engaged,0,0,0,6,Yes,No,"Solid robot. Fast and efficient cycles. Knocked over teammate but wasn’t their fault",Thu Apr 20 2023 13:37:52 GMT+0000 (Coordinated Universal Time)
"5338","1",Red,"HH",1,0,0,0,0,0,None,None,3,0,2,0,1,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,2,Yes,No,"Slow but accurate ",Thu Apr 20 2023 13:37:55 GMT+0000 (Coordinated Universal Time)
"4663","1",Red,"LP",0,0,0,1,0,0,Mobility,None,4,0,3,1,0,0,0,0,0,0,0,0,0,0,None,3,3,1,3,No,No,"",Thu Apr 20 2023 13:39:42 GMT+0000 (Coordinated Universal Time)
"4909","3",Blue,"KL",0,0,0,1,0,0,Mobility,Engaged,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,0,Yes,Yes,"Died mid round, but came back to engage",Thu Apr 20 2023 13:44:27 GMT+0000 (Coordinated Universal Time)
"857","2",Red,"JW",1,0,0,0,0,0,Mobility,None,5,2,1,2,1,1,1,0,0,0,0,0,0,0,Engaged,3,0,0,8,Yes,No,"Slow at double sub station, no auto align",Thu Apr 20 2023 13:44:29 GMT+0000 (Coordinated Universal Time)
"1538","2",Blue,"LL",1,0,0,0,0,1,Mobility,None,8,3,3,4,1,1,2,0,0,0,0,0,0,0,None,0,0,0,10,Yes,No,"Very solid robot overall. 4414 level accuracy",Thu Apr 20 2023 13:44:42 GMT+0000 (Coordinated Universal Time)
"1816","2",Red,"Hh",1,0,0,0,0,0,Mobility,Engaged,4,2,1,2,1,0,1,1,0,0,0,0,0,0,Park,0,2,0,7,Yes,No,"Fast, consistent",Thu Apr 20 2023 13:44:44 GMT+0000 (Coordinated Universal Time)
"1757","2",Red,"LP",1,0,0,1,0,0,Mobility,None,3,2,1,2,0,1,1,0,0,0,0,0,0,0,Engaged,0,0,0,3,Yes,No,"",Thu Apr 20 2023 13:44:45 GMT+0000 (Coordinated Universal Time)
"6909","2",Blue,"Lg",0,0,0,1,0,0,Mobility,Engaged,3,1,0,0,3,0,0,0,0,0,0,0,0,0,Engaged,4,0,0,3,Yes,Yes,"Slow drive. Died a little but then charged",Thu Apr 20 2023 13:46:58 GMT+0000 (Coordinated Universal Time)
"4905","4",Red,"LP",0,0,0,1,0,0,Mobility,Engaged,1,1,1,0,0,0,0,1,0,0,0,0,0,0,None,2,1,0,4,Yes,Yes,"",Thu Apr 20 2023 14:06:14 GMT+0000 (Coordinated Universal Time)
"3932","4",Blue,"LL",0,0,0,0,0,1,None,Attempted,4,1,2,3,0,0,0,1,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"Pretty slow",Thu Apr 20 2023 14:06:42 GMT+0000 (Coordinated Universal Time)
"8808","4",Blue,"Lg",0,0,0,1,0,0,Mobility,None,0,4,0,0,0,0,2,1,0,0,0,0,0,0,Park,4,0,0,2,No,No,"Assssssssssssssss",Thu Apr 20 2023 14:06:46 GMT+0000 (Coordinated Universal Time)
"4112","4",Red,"JW",1,0,0,0,0,0,Mobility,None,3,1,2,1,0,1,0,0,0,0,0,0,0,0,Engaged,4,3,1,6,Yes,No,"",Thu Apr 20 2023 14:06:51 GMT+0000 (Coordinated Universal Time)
"5006","4",Red,"HH",1,0,0,0,0,0,Mobility,None,1,6,1,0,0,1,0,4,0,0,0,0,0,0,Engaged,2,0,0,6,Yes,No,"Speedy, good low cube",Thu Apr 20 2023 14:06:59 GMT+0000 (Coordinated Universal Time)
"3184","4",Blue,"KL",1,0,0,1,0,0,Mobility,None,5,2,3,2,0,1,0,1,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"Good bot, won both regionals",Thu Apr 20 2023 14:07:48 GMT+0000 (Coordinated Universal Time)
"9140","5",Blue,"LL",0,0,0,1,0,0,Mobility,Engaged,3,0,2,0,1,0,0,0,0,0,0,0,0,0,Engaged,2,0,0,7,Yes,No,"Pretty fast, very slow to place",Thu Apr 20 2023 14:15:17 GMT+0000 (Coordinated Universal Time)
"8717","5",Blue,"Lg",1,0,0,1,0,0,Mobility,None,1,3,0,0,0,1,2,0,0,0,0,0,0,0,Park,3,3,0,3,No,No,"Kinda bad ",Thu Apr 20 2023 14:15:26 GMT+0000 (Coordinated Universal Time)
"5172","5",Red,"Hh",0,0,0,0,0,0,Attempted Mobility,None,2,4,0,2,0,1,1,0,0,0,0,0,0,0,Engaged,3,5,0,6,Yes,No,"",Thu Apr 20 2023 14:15:36 GMT+0000 (Coordinated Universal Time)
"2992","5",Red,"JW",0,0,0,0,0,1,Mobility,None,4,2,3,0,1,1,0,1,0,0,0,0,0,0,Engaged,2,0,0,8,Yes,No,"",Thu Apr 20 2023 14:15:45 GMT+0000 (Coordinated Universal Time)
"9084","5",Blue,"KL",0,0,0,0,0,0,None,None,1,9,1,0,0,0,1,8,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"What an amazing team 🤩",Thu Apr 20 2023 14:15:57 GMT+0000 (Coordinated Universal Time)
"494","5",Red,"LP",1,0,0,1,0,0,Attempted Mobility,None,4,1,2,2,0,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"Green robot arm can place in both directions ",Thu Apr 20 2023 14:16:02 GMT+0000 (Coordinated Universal Time)
"6606","6",Blue,"LL",0,0,0,0,0,0,Mobility,None,0,3,0,0,0,0,1,0,0,0,0,0,0,0,None,6,10,0,2,Yes,No,"Very bad overall. Barely did anything. Almost tipped over",Thu Apr 20 2023 14:22:35 GMT+0000 (Coordinated Universal Time)
"3572","6",Red,"Hh",0,0,0,0,0,1,Mobility,None,2,0,1,0,1,1,0,0,0,0,0,0,0,0,Engaged,5,5,0,0,Yes,No,"Slow and in the way, inaccurate ",Thu Apr 20 2023 14:22:37 GMT+0000 (Coordinated Universal Time)
"5274","6",Red,"LP",0,0,0,0,1,0,Mobility,Engaged,3,2,0,2,1,1,0,1,0,0,0,0,0,0,Engaged,3,2,0,4,No,No,"",Thu Apr 20 2023 14:22:42 GMT+0000 (Coordinated Universal Time)
"2642","6",Blue,"Lg",1,0,0,1,0,0,Mobility,None,3,2,3,0,0,2,0,0,0,0,0,0,0,0,Engaged,0,0,0,4,Yes,No,"A little slow but efficient ",Thu Apr 20 2023 14:22:52 GMT+0000 (Coordinated Universal Time)
"4143","5",Red,"JW",1,0,0,1,1,0,None,None,7,0,3,2,2,0,0,0,0,0,0,0,0,0,Engaged,0,0,0,7,Yes,No,"",Thu Apr 20 2023 14:23:10 GMT+0000 (Coordinated Universal Time)
"955","6",Blue,"KL",0,0,0,1,0,0,None,None,5,1,2,0,4,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"Arm got caught on auto",Thu Apr 20 2023 14:24:35 GMT+0000 (Coordinated Universal Time)
"5665","7",Blue,"LL",0,0,0,1,0,0,Mobility,None,3,0,0,0,1,0,0,0,0,0,0,0,0,0,None,7,10,0,5,Yes,Yes,"Tipped over",Thu Apr 20 2023 14:29:11 GMT+0000 (Coordinated Universal Time)
"1466","7",Red,"LP",0,0,0,1,0,0,Mobility,Engaged,3,1,0,1,2,0,1,0,0,0,0,0,0,0,Engaged,0,5,0,3,Yes,No,"",Thu Apr 20 2023 14:29:54 GMT+0000 (Coordinated Universal Time)
"11","7",Red,"JW",1,0,0,1,0,0,Mobility,None,2,0,2,0,0,0,0,0,0,0,0,0,0,0,None,6,0,0,6,Yes,Yes,"DCed in double sub station ",Thu Apr 20 2023 14:29:57 GMT+0000 (Coordinated Universal Time)
"177","7",Blue,"KL",0,0,1,0,0,1,None,None,6,1,4,2,0,0,1,0,0,0,0,0,0,0,Engaged,0,0,0,8,Yes,No,"3 piece auto, missed last place",Thu Apr 20 2023 14:30:20 GMT+0000 (Coordinated Universal Time)
"3767","7",Blue,"Lg",0,0,0,1,0,0,None,Engaged,2,1,2,0,0,1,0,0,0,0,0,0,0,0,Engaged,0,0,0,4,No,No,"",Thu Apr 20 2023 14:30:28 GMT+0000 (Coordinated Universal Time)
"8015","7",Red,"HH",0,0,1,0,0,0,Attempted Mobility,None,1,2,0,0,0,0,0,2,0,0,0,0,0,0,Engaged,6,5,0,0,Yes,Yes,"Died then fixed it, slow",Thu Apr 20 2023 14:33:08 GMT+0000 (Coordinated Universal Time)
"4419","8",Red,"LP",1,0,0,0,0,1,None,None,2,4,2,0,0,1,0,3,0,0,0,0,0,0,Engaged,0,0,0,5,Yes,No,"",Thu Apr 20 2023 14:37:36 GMT+0000 (Coordinated Universal Time)
