Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Endgame Teleop,Notes,Time Uploaded
,,Red,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thu Mar 30 2023 15:12:15 GMT+0000 (Coordinated Universal Time)
,,Red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thu Mar 30 2023 15:29:56 GMT+0000 (Coordinated Universal Time)
,,Red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thu Mar 30 2023 16:07:58 GMT+0000 (Coordinated Universal Time)
9084,69,Blue,Srt,12,0,0,0,0,0,3,12,4,3,10,12,2,10,3,2,10,,Thu Mar 30 2023 16:10:30 GMT+0000 (Coordinated Universal Time)
,,Red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thu Mar 30 2023 19:08:33 GMT+0000 (Coordinated Universal Time)
,,Red,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Thu Mar 30 2023 19:08:46 GMT+0000 (Coordinated Universal Time)
3512,2,Blue,LL,0,0,0,0,0,0,3,0,2,7,10,0,6,5,0,6,0,,Thu Mar 30 2023 19:18:08 GMT+0000 (Coordinated Universal Time)
3759,1,Blue,JW,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,2,0,Broke halfway through,Thu Mar 30 2023 19:18:16 GMT+0000 (Coordinated Universal Time)
4415,1,Blue,KL,6,0,3,0,0,0,3,0,0,0,15,3,0,10,0,0,10,,Thu Mar 30 2023 19:18:19 GMT+0000 (Coordinated Universal Time)
3512,‘ OR 1 = 1 --,Red,AJ,6,0,0,0,0,0,3,0,0,8,10,0,6,5,0,4,2,Deez nuts,Thu Mar 30 2023 19:18:20 GMT+0000 (Coordinated Universal Time)
4415,1,Blue,KL,6,0,3,0,0,0,3,0,0,0,15,3,0,10,0,0,10,,Thu Mar 30 2023 19:18:32 GMT+0000 (Coordinated Universal Time)
4415,1,Blue,KL,6,0,3,0,0,0,3,0,4,2,15,3,0,10,0,0,10,,Thu Mar 30 2023 19:19:06 GMT+0000 (Coordinated Universal Time)
6060,P1,Red,Lg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,,Thu Mar 30 2023 19:19:29 GMT+0000 (Coordinated Universal Time)
2659,2,Red,JW,6,0,0,0,0,3,3,8,5,1,5,12,0,0,3,0,10,Smooth engage, cube shelf collect kinda sucks,Thu Mar 30 2023 19:29:40 GMT+0000 (Coordinated Universal Time)
3476,2,Red,LL,12,0,0,0,0,0,3,0,3,5,0,6,6,5,3,2,10,2 bot balance. Bad floor collect. Overall very solid robot.,Thu Mar 30 2023 19:29:43 GMT+0000 (Coordinated Universal Time)
7157,3,Blue,LL,6,0,0,0,0,0,3,0,4,3,10,0,4,5,0,2,10,Inconsistent shooting,Thu Mar 30 2023 19:40:11 GMT+0000 (Coordinated Universal Time)
7157,P3,Red,Lg,6,0,0,0,0,0,3,0,6,4,10,0,2,5,0,6,10,Good driving but missed several cones,Thu Mar 30 2023 19:41:51 GMT+0000 (Coordinated Universal Time)
7157,3,Blue,KL,6,0,0,0,0,0,3,0,6,4,10,0,2,5,0,6,10,Place is quick but driver isn’t very consistent(especially with cones),Thu Mar 30 2023 19:42:13 GMT+0000 (Coordinated Universal Time)
