Team Number,Match Number,Team Color,Scout Initals,Cone High Auto,Cone Mid Auto,Cone Low Auto,Cube High Auto,Cube Mid Auto,Cube Low Auto,Mobility Auto,Balance Auto,Cones Collected,Cubes Collected,Cone High,Cone Mid,Cone Low,Cube High,Cube Mid,Cube Low,Cone High (Full Grid),Cone Mid (Full Grid),Cone Low (Full Grid),Cube High (Full Grid),Cube Mid (Full Grid),Cube Low (Full Grid),Endgame Teleop,How in the way of own alliance (none (0) to lots (10)),How tippy (none (0) to lots (10)),How many penalties (none (0) to lots (10)),How speedy (0 (low speed) - 10 (high speed)),Swerve,Died?,Notes,Time Uploaded
"9030","1",Blue,"LL",0,0,0,6,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,0,0,"Tipped over",Thu Apr 20 2023 13:36:53 GMT+0000 (Coordinated Universal Time)
"7428","1",Red,"JW",0,0,0,6,0,0,0,12,3,2,0,3,0,5,3,0,0,0,0,0,0,0,10,1,0.7,1,0.7,1,1,"",Thu Apr 20 2023 13:37:22 GMT+0000 (Coordinated Universal Time)
"5804","1",Blue,"KL",6,0,0,0,0,0,0,0,5,2,15,0,4,5,3,0,0,0,0,0,0,0,10,1,1,1,0,1,1,"",Thu Apr 20 2023 13:37:38 GMT+0000 (Coordinated Universal Time)
"1023","1",Blue,"Lg",0,4,0,0,0,0,0,0,4,4,0,9,2,0,3,6,0,0,0,0,0,0,10,1,1,1,0.6,1,1,"Solid robot. Fast and efficient cycles. Knocked over teammate but wasn’t their fault",Thu Apr 20 2023 13:37:52 GMT+0000 (Coordinated Universal Time)
"5338","1",Red,"HH",6,0,0,0,0,0,0,0,3,0,10,0,2,0,0,0,0,0,0,0,0,0,10,1,1,1,0.2,1,1,"Slow but accurate ",Thu Apr 20 2023 13:37:55 GMT+0000 (Coordinated Universal Time)
"4663","1",Red,"LP",0,0,0,6,0,0,3,0,4,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.9,0.3,0,1,"",Thu Apr 20 2023 13:39:42 GMT+0000 (Coordinated Universal Time)
"4909","3",Blue,"KL",0,0,0,6,0,0,3,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,1,1,1,0,1,0,"Died mid round, but came back to engage",Thu Apr 20 2023 13:44:27 GMT+0000 (Coordinated Universal Time)
"857","2",Red,"JW",6,0,0,0,0,0,3,0,5,2,5,6,2,5,3,0,0,0,0,0,0,0,10,0.7,1,1,0.8,1,1,"Slow at double sub station, no auto align",Thu Apr 20 2023 13:44:29 GMT+0000 (Coordinated Universal Time)
"1538","2",Blue,"LL",6,0,0,0,0,3,3,0,8,3,15,12,2,5,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Very solid robot overall. 4414 level accuracy",Thu Apr 20 2023 13:44:42 GMT+0000 (Coordinated Universal Time)
"1816","2",Red,"Hh",6,0,0,0,0,0,3,12,4,2,5,6,2,0,3,2,0,0,0,0,0,0,2,1,0.8,1,0.7,1,1,"Fast, consistent",Thu Apr 20 2023 13:44:44 GMT+0000 (Coordinated Universal Time)
"1757","2",Red,"LP",6,0,0,6,0,0,3,0,3,2,5,6,0,5,3,0,0,0,0,0,0,0,10,1,1,1,0.3,1,1,"",Thu Apr 20 2023 13:44:45 GMT+0000 (Coordinated Universal Time)
